Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Luke Williams,SFG,23,74,68,15,3,0,1,8,7,6,17,0,2,0,,0.222,0.288,0.31,0.598,0.266,63,,0,,999,,4.39,1.05,1.74,19931
David Dahl,MIL,13,52,48,12,3,0,2,6,6,3,13,0,0,0,,0.24,0.285,0.402,0.687,0.294,81,,0,,599.4,,4.13,1.38,1.78,13744
Ian Desmond,COL,7,26,24,6,1,0,1,3,3,2,7,0,0,0,,0.251,0.31,0.422,0.733,0.315,83,,0,,999,,5.58,2.99,1.89,6885
Dexter Fowler,,28,104,91,20,4,0,3,12,10,12,27,1,2,1,,0.219,0.315,0.363,0.678,0.295,85,,-0.1,,999,,4.26,0.43,1.57,4062
Jonathan Davis,MIL,9,27,24,5,1,0,0,3,2,2,8,1,1,0,,0.194,0.277,0.273,0.549,0.249,52,,-0.1,,999,,3.09,0.76,1.86,15104
Andrew Stevenson,WSN,70,230,210,52,10,1,5,26,24,16,62,3,3,1,,0.25,0.31,0.375,0.684,0.299,84,,-0.1,,597.8,,3.66,0.77,1.23,17932
Scott Kingery,PHI,15,39,36,8,2,0,1,4,4,2,13,0,1,0,,0.221,0.275,0.373,0.648,0.281,72,,-0.1,,600.9,,2.8,2.88,1.82,17975
Jarrod Dyson,,40,115,104,23,4,1,1,13,8,9,24,1,7,2,,0.218,0.284,0.304,0.589,0.261,59,,-0.1,,999,,2.29,0.29,1.79,4866
Adam Haseley,CHW,29,106,96,23,4,0,2,11,10,7,23,1,2,1,,0.236,0.293,0.349,0.642,0.281,75,,-0.1,,600.9,,4.14,1.89,1.62,19878
Billy Hamilton,,21,70,63,13,2,0,0,8,5,5,19,0,4,1,,0.2,0.255,0.255,0.511,0.229,46,,-0.1,,599.3,,3.43,0.69,1.8,10199
Jake Cave,MIN,32,111,102,23,5,0,3,12,11,7,36,2,1,0,,0.224,0.29,0.357,0.646,0.283,78,,-0.1,,999,,4.13,0.55,1.5,14477
Guillermo Heredia,ATL,53,185,164,37,9,0,3,23,16,16,43,4,1,0,,0.228,0.31,0.346,0.656,0.29,77,,-0.1,,999,,2.34,-0.36,1.21,18721
Scott Schebler,,11,33,31,6,1,0,1,4,3,2,11,1,0,0,,0.203,0.26,0.34,0.599,0.254,43,,-0.2,,999,,5.01,2.09,1.82,12225
Magneuris Sierra,LAA,33,90,82,19,3,1,0,10,5,5,19,0,4,1,,0.232,0.28,0.298,0.577,0.255,58,,-0.3,,999,,2.94,2.15,1.79,17023
