Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Brett Gardner,,68,255,220,51,9,2,6,30,25,30,55,2,3,1,,0.23,0.325,0.379,0.704,0.309,93,,0.5,,598.6,,2.57,0.45,0.99,9927
Taylor Ward,LAA,51,199,176,43,9,0,6,26,23,19,50,3,2,1,,0.246,0.328,0.412,0.74,0.322,104,,0.4,,601,,5.05,0.91,1.2,17548
Sam Hilliard,COL,98,362,328,75,14,3,17,47,46,31,121,2,8,2,,0.228,0.297,0.446,0.744,0.317,84,,0.4,,495.5,,2.11,0.97,0.73,17954
Aristides Aquino,CIN,81,289,257,58,11,1,16,37,40,27,92,3,4,1,,0.225,0.305,0.464,0.769,0.327,99,,0.3,,589,,4.65,-0.05,0.74,15482
Clint Frazier,CHC,94,365,319,74,17,1,13,42,41,40,102,5,3,1,,0.234,0.326,0.416,0.742,0.323,103,,0.3,,499.5,,3.62,-0.24,0.56,15983
Raimel Tapia,TOR,105,423,388,103,22,2,5,52,37,28,70,2,14,4,,0.265,0.316,0.369,0.685,0.299,84,,0.3,,297.2,,2.25,-0.16,1.4,14350
Edward Olivares,KCR,36,137,125,32,6,1,5,16,15,9,27,2,3,1,,0.258,0.312,0.427,0.738,0.317,99,,0.3,,578,,4.5,1.94,1.58,19698
Jurickson Profar,SDP,122,451,395,93,20,2,10,52,44,45,68,7,9,3,,0.235,0.321,0.37,0.691,0.305,91,,0.3,,549.6,,1.75,-0.22,0.78,10815
Josh Lowe,TBR,58,224,199,47,10,1,7,27,26,22,65,1,8,1,,0.236,0.312,0.397,0.709,0.308,93,,0.3,,472.9,,9.38,-0.08,1.29,19953
Greg Allen,PIT,66,234,204,50,11,1,4,28,20,17,54,7,14,2,,0.244,0.318,0.364,0.682,0.299,86,,0.3,,600.2,,8.28,1,1.78,16623
Michael Hermosillo,CHC,35,127,111,25,5,0,5,16,14,11,37,4,2,1,,0.224,0.308,0.398,0.706,0.306,92,,0.3,,599,,3.55,-0.15,1.44,16285
Brent Rooker,MIN,55,220,194,43,9,0,9,26,27,20,72,5,1,0,,0.222,0.31,0.42,0.73,0.316,100,,0.3,,599.1,,2.98,0.61,0.95,19627
Trevor Larnach,MIN,83,334,295,69,14,0,9,37,35,31,107,5,2,0,,0.235,0.318,0.381,0.699,0.306,93,,0.2,,573,,4.49,-0.77,0.65,21501
Justin Upton,LAA,91,358,315,70,12,0,17,45,46,36,104,4,3,1,,0.222,0.307,0.424,0.731,0.313,98,,0.2,,568,,2.02,-0.37,0.51,5222
Garrett Stubbs,PHI,27,96,81,18,4,0,1,10,8,10,20,1,1,0,,0.216,0.302,0.319,0.621,0.277,70,,0.2,,600.8,,1.71,1.4,1.61,18067
Matt Beaty,SDP,75,236,213,54,11,1,7,30,30,17,44,6,2,1,,0.254,0.326,0.409,0.735,0.32,101,,0.2,,591.1,,7.1,1.36,1.09,17710
Alex Dickerson,ATL,74,263,237,60,12,1,11,34,34,20,59,4,1,0,,0.253,0.322,0.46,0.782,0.334,106,,0.2,,598,,2.7,0.36,0.91,12649
Willie Calhoun,TEX,109,423,385,98,18,2,15,47,48,30,59,4,1,1,,0.253,0.312,0.424,0.736,0.317,101,,0.2,,470,,5.38,0.52,0.5,17838
Shed Long Jr.,BAL,31,123,111,26,5,1,4,13,13,10,34,1,2,1,,0.231,0.299,0.388,0.687,0.299,86,,0.2,,999,,3.1,1.79,1.52,16542
Lars Nootbaar,STL,78,269,239,59,9,1,8,31,29,25,57,2,4,2,,0.248,0.321,0.398,0.719,0.312,95,,0.2,,578.1,,3.7,-0.5,1.07,21454
Corey Dickerson,STL,81,311,288,77,16,2,8,35,33,19,57,2,4,2,,0.265,0.315,0.416,0.731,0.314,97,,0.1,,578,,3.57,-0.99,1.11,10762
Tim Locastro,NYY,35,119,107,25,5,1,2,15,10,8,24,4,4,1,,0.239,0.31,0.358,0.668,0.295,84,,0.1,,599.8,,2.22,0.99,1.66,15124
